"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"18","Immortal Beloved","1994","R","27 Jan 1995","121 min","Biography, Drama, Music, Romance","Bernard Rose","Bernard Rose","Gary Oldman, Jeroen Krabbé, Isabella Rossellini, Johanna ter Steege","The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to ...","English, Hungarian","UK, USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BOTgyZTYzZGItYzIzMi00YTBkLTk0ZTktOTg2ZTM3NDcwYjAxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","22,866","tt0110116","movie","N/A","N/A","Icon Entertainment International","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","55%","","","","","","","","","","","",""
"19","By Dawn's Early Light","2000","N/A","21 Jun 2008","100 min","Comedy, Drama","Arthur Allan Seidelman","Jacqueline Feather, David Seidler","Richard Crenna, David Carradine, Chris Olivero, Patrick David","When Mike Lewis leaves L.A. to stay with his grandfather in Colorado for the summer, he hates the old man's cowboy ways. When Mike demands to go home, the old man agrees and saddles up a ...","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTQ2NTQ0NTM2Nl5BMl5BanBnXkFtZTcwMzEzNzYxMQ@@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","371","tt0247232","movie","N/A","N/A","Daniel L. Paulson Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","75%","","","","","","","","","","","",""
"20","Seeta Aur Geeta","1972","N/A","17 Nov 1972","162 min","Comedy, Drama, Family, Musical, Romance","Ramesh Sippy","Javed Akhtar (dialogue), Javed Akhtar (screenplay), Satish Bhatnagar (screenplay), Satish Bhatnagar (story), Salim Khan (dialogue), Salim Khan (screenplay)","Dharmendra, Sanjeev Kumar, Hema Malini, Manorama","Long-suffering heiress Seeta is treated worse than a servant by her abusive money-grubbing aunt. Meanwhile, her long-lost twin sister Geeta grows up to be a gutsy street-performer. One day, the girls unintentionally swap places.","Hindi","India","1 win.","https://m.media-amazon.com/images/M/MV5BNDI0ZDJlZWYtOWY5MC00NzdhLThjMDktNmI4Y2NlY2FhNWRiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","1,538","tt0078222","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","84%","","","","","","","","","","","",""
"22","Chump Change","2000","R","07 Jan 2004","89 min","Comedy, Romance","Stephen Burrows","Stephen Burrows","Stephen Burrows, Tim Matheson, Traci Lords, A.J. Benza","Rags to riches to rags comedy loosely based on the director Steve Burrows' actual experiences while writing screenplays in Los Angeles. Burrows (aka ""Milwaukee Steve"") finally makes it big ...","English","USA","6 wins.","https://m.media-amazon.com/images/M/MV5BMTkwNDg4NTc3NV5BMl5BanBnXkFtZTcwODU0NTQyMQ@@._V1_SX300.jpg","Internet Movie Database","5.6/10","N/A","5.6","362","tt0208050","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","45%","","","","","","","","","","","",""
"24","My Bloody Valentine","1981","R","11 Feb 1981","90 min","Horror, Mystery, Thriller","George Mihalka","Stephen A. Miller (story concept), John Beaird","Paul Kelman, Lori Hallier, Neil Affleck, Keith Knight","A decades-old folk tale surrounding a deranged murderer killing those who celebrate Valentine's Day turns out to be true to legend when a group defies the killer's order and people start turning up dead.","English","Canada","N/A","https://m.media-amazon.com/images/M/MV5BMGFjOWQ5NDQtNzlkNy00OTY0LTllYmItMjU1ZGNiOWRmMzM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.3/10","46","6.3","17,360","tt0082782","movie","N/A","N/A","Canadian Film Development Corporation (CFDC), Famous Players, Paramount Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","54%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","46/100","","","","","","","","","","","",""
"26","Never Die Alone","2004","R","26 Mar 2004","88 min","Action, Crime, Drama, Thriller","Ernest R. Dickerson","Donald Goines (novel), James Gibson (screenplay)","DMX, Michael Ealy, Drew Sidora, Antwon Tanner","A drug kingpin's return home touches off a turf war.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTQzMDE4MzM2NF5BMl5BanBnXkFtZTYwMDM1MDA3._V1_SX300.jpg","Internet Movie Database","5.7/10","38","5.7","5,377","tt0354766","movie","N/A","N/A","Fearon Entertainment, Visionbox Pictures, ContentFilm, Bloodline Films, White Orchid Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","26%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","38/100","","","","","","","","","","","",""
"28","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"29","Boycott","2001","PG","24 Feb 2001","118 min","Drama","Clark Johnson","Stewart Burns (book), Herman Daniel Farrell (teleplay), Timothy J. Sexton (teleplay)","Jeffrey Wright, Terrence Howard, CCH Pounder, Carmen Ejogo","Black Americans boycott the public buses during the 1950s civil rights movement.","English","USA","5 wins & 10 nominations.","https://m.media-amazon.com/images/M/MV5BMTYwNDU2NzUyN15BMl5BanBnXkFtZTcwODg0MjkyMQ@@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","795","tt0255851","movie","N/A","N/A","HBO Films, Shelby Stone Productions, Norman Twain Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","77%","","","","","","","","","","","",""
"30","Something's Gotta Give","2003","PG-13","12 Dec 2003","128 min","Comedy, Drama, Romance","Nancy Meyers","Nancy Meyers","Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand","A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.","English, French","USA","Nominated for 1 Oscar. Another 8 wins & 12 nominations.","https://m.media-amazon.com/images/M/MV5BODYyNmRlNDMtYzg1Zi00NzlhLWI4ZDMtZWUwOTQzMDZiYTQyXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","Internet Movie Database","6.7/10","66","6.7","110,371","tt0337741","movie","N/A","N/A","Warner Brothers, Waverly Films, Columbia Pictures Corporation","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","72%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","66/100","","","","","","","","","","","",""
"31","Classic Albums: Meat Loaf - Bat Out of Hell","1999","N/A","18 Sep 1999","58 min","Documentary, Music","Bob Smeaton","N/A","Meat Loaf, Jim Steinman, Karla DeVito, Max Weinberg","N/A","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTg0OTI5NzAxNV5BMl5BanBnXkFtZTcwMzE2MTAzMQ@@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","222","tt0235298","movie","N/A","N/A","N/A","N/A","True","",""
"33","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"37","Zatoichi's Conspiracy","1973","Not Rated","15 Apr 1974","88 min","Action, Drama","Kimiyoshi Yasuda","Yoshi Hattori (screenplay), Kan Shimozawa (story)","Shintarô Katsu, Yukiyo Toake, Eiji Okada, Kei Satô","Zatoichi returns to his home village for the first time in over ten years to find much has changed and that corruption abounds.","Japanese","Japan","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTQ3NDA2NDM1NF5BMl5BanBnXkFtZTgwODEyODIyMTE@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","809","tt0072439","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","75%","","","","","","","","","","","",""
"42","Searching for Paradise","2002","R","24 Jun 2002","88 min","Drama","Myra Paci","Myra Paci","Susan May Pratt, Chris Noth, Jeremy Davies, John Pierson","A young woman, coping with the death of her father, embarks on a quest to meet a Hollywood star with whom she has become obsessed.","English","USA","2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMTc0NDQyMTc1N15BMl5BanBnXkFtZTcwNTA3NTAwMQ@@._V1_SX300.jpg","Internet Movie Database","5.7/10","N/A","5.7","182","tt0217787","movie","N/A","N/A","Centre Street Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","33%","","","","","","","","","","","",""
"44","The Spitfire Grill","1996","PG-13","06 Sep 1996","117 min","Drama","Lee David Zlotoff","Lee David Zlotoff","Alison Elliott, Ellen Burstyn, Marcia Gay Harden, Will Patton","Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire ...","English","USA","3 wins.","https://m.media-amazon.com/images/M/MV5BN2RiOTc2MTItNGExNi00MmM0LTk2ZmUtMmYyNWM1MzYxMWRmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","Internet Movie Database","7.0/10","N/A","7.0","5,216","tt0117718","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","33%","","","","","","","","","","","",""
"45","The Love Letter","1999","PG-13","21 May 1999","88 min","Comedy, Drama, Romance","Peter Ho-Sun Chan","Cathleen Schine (novel), Maria Maggenti (screenplay)","Kate Capshaw, Blythe Danner, Ellen DeGeneres, Julianne Nicholson","The life of a provincial town becomes stormy after the appearance of an anonymous love letter.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BZmMyOTc5Y2QtMjNhNC00OTEyLWEyMzAtMTA0ZDU0MzVlOTE2XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","Internet Movie Database","5.5/10","N/A","5.5","3,981","tt0166252","movie","N/A","N/A","DreamWorks SKG","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","33%","","","","","","","","","","","",""
"46","Rudolph the Red-Nosed Reindeer","1964","TV-G","06 Dec 1964","47 min","Animation, Adventure, Comedy, Family, Fantasy, Musical","Larry Roemer","Romeo Muller, Robert May (story), Johnny Marks (song)","Burl Ives, Larry D. Mann, Billie Mae Richards, Paul Soles","A misfit reindeer and his friends look for a place that will accept them.","English","USA, Canada, Japan","N/A","https://m.media-amazon.com/images/M/MV5BYjdjZjkyYjUtOWJiZC00ZTE2LTk4MDktZjliOTk5ZDk5ZTZhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","25,097","tt0058536","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","95%","","","","","","","","","","","",""
"47","The Bad and the Beautiful","1952","Passed","09 Feb 1953","118 min","Drama, Romance","Vincente Minnelli","Charles Schnee (screenplay), George Bradshaw (story)","Lana Turner, Kirk Douglas, Walter Pidgeon, Dick Powell","An unscrupulous movie producer uses an actress, a director and a writer to achieve success.","English","USA","Won 5 Oscars. Another 2 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BODhkYzk3N2YtNjU3My00ZWJkLWE1YzMtNzBiM2E3NDJkODA1XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","13,024","tt0044391","movie","N/A","N/A","Metro Goldwyn Mayer, Loew&#39;s Inc.","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","79%","","","","","","","","","","","",""
"48","Justice League","2001–2004","TV-PG","17 Nov 2001","22 min","Animation, Action, Adventure, Drama, Family, Fantasy, Mystery","N/A","Bob Kane, William Moulton Marston, Joe Shuster, Jerry Siegel, H.P. Lovecraft, Otto Binder, Christopher Keenan, Jack Kirby, Linda Steiner, Gardner Fox","Carl Lumbly, Phil LaMarr, Michael Rosenbaum, George Newbern","Seven of the most formidable heroes form arguably the most powerful team ever.","English","USA","Nominated for 2 Primetime Emmys. Another 9 nominations.","https://m.media-amazon.com/images/M/MV5BMDE2ODk0ZTctMGI4Ni00ODgwLTk4OTAtOGNiNjZkMzI3NTY0XkEyXkFqcGdeQXVyOTgwMzk1MTA@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","40,140","tt0275137","series","","","","","True","","5"
"","","","","","","","","","","","","","","","Rotten Tomatoes","83%","","","","","","","","","","","",""
"50","A Yank in the R.A.F.","1941","Not Rated","09 Feb 1942","98 min","Action, Adventure, Drama, Romance, War","Henry King","Darrell Ware (screenplay), Karl Tunberg (screenplay), Darryl F. Zanuck (story)","Tyrone Power, Betty Grable, John Sutton, Reginald Gardiner","An American pilot impulsively joins His Majesty's Royal Air Force in Britain in an attempt to impress his ex-girlfriend.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BODg3YmJhZmYtN2Y2OC00MTFkLThhNmYtMjhkZjczNGJmYTRhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg","Internet Movie Database","6.5/10","N/A","6.5","1,204","tt0034405","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","31%","","","","","","","","","","","",""
"52","The Weather Underground","2002","Unrated","13 Nov 2003","92 min","Documentary, History, War","Sam Green, Bill Siegel(co-director)","N/A","Lili Taylor, Pamela Z, Jim Lange, Evan White","The remarkable story of The Weather Underground, radical activists of the 1970s, and of radical politics at its best and most disastrous.","English","USA","Nominated for 1 Oscar. Another 4 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMTI2MTU5Njc3M15BMl5BanBnXkFtZTcwNzA2NzUyMQ@@._V1_SX300.jpg","Internet Movie Database","7.4/10","77","7.4","3,417","tt0343168","movie","N/A","N/A","The Free History Project","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","91%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","77/100","","","","","","","","","","","",""
"53","The Bonesetter","2003","Not Rated","15 Jul 2004","72 min","Horror, Thriller","Brett Kelly","Brett Kelly","Brett Kelly, Sherry Thurig, Anne-Marie Frigon, Mark Courneyea","In the town of Munster, children are going missing. According to one mother, it is the doing of bonne homme sept heure . . . the Bonesetter. Its up to two librarians, a cop and a single mother to stop him! He's coming. At seven o'clock","English","Canada","N/A","https://m.media-amazon.com/images/M/MV5BNzMzOTQ3OTk3MV5BMl5BanBnXkFtZTcwMjg4MjYyMQ@@._V1_SX300.jpg","Internet Movie Database","1.6/10","N/A","1.6","186","tt0403888","movie","31 Aug 2004","N/A","N/A","N/A","True","",""
"54","We're Not Married!","1952","Approved","17 Dec 1952","86 min","Comedy, Romance","Edmund Goulding","Nunnally Johnson (screenplay), Dwight Taylor (adaptation), Gina Kaus (story), Jay Dratler (story)","Ginger Rogers, Fred Allen, Victor Moore, Marilyn Monroe","In separate stories, five wedded couples learn that they are not legally married.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMmQyODc5OGYtMWE3OC00YjdjLTg0MGItNDgxYzlhNjkyOGExXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","Internet Movie Database","6.3/10","N/A","6.3","1,771","tt0045317","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","49%","","","","","","","","","","","",""
"55","Jade","1995","R","13 Oct 1995","95 min","Crime, Drama, Thriller","William Friedkin","Joe Eszterhas","David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna","A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.","English","USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BYTcwZDIyMDEtN2Q4MS00ZTIxLWEwMjMtM2I5NWViOTNjMGRhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg","Internet Movie Database","5.3/10","N/A","5.3","11,141","tt0113451","movie","N/A","N/A","Paramount Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","14%","","","","","","","","","","","",""
"57","Richard III","1995","R","29 Dec 1995","110 min","Drama, Sci-Fi, War","Richard Loncraine","Ian McKellen (screenplay), Richard Loncraine (screenplay), Richard Eyre, William Shakespeare (play)","Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson","The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.","English","UK, USA","Nominated for 2 Oscars. Another 7 wins & 10 nominations.","https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","13,346","tt0114279","movie","N/A","N/A","Mayfair Entertainment International, United Artists, British Screen Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","94%","","","","","","","","","","","",""
"58","DragonHeart","1996","PG-13","31 May 1996","103 min","Action, Adventure, Fantasy","Rob Cohen","Patrick Read Johnson (story by), Charles Edward Pogue (story by), Charles Edward Pogue (screenplay by)","Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer","The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.","English","USA","Nominated for 1 Oscar. Another 3 wins & 9 nominations.","https://m.media-amazon.com/images/M/MV5BNzI2NGUzYzAtY2Y1MS00NzhjLWFiYzItODgwM2RlN2M5ZjA4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","Internet Movie Database","6.5/10","N/A","6.5","90,187","tt0116136","movie","N/A","N/A","Universal Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","50%","","","","","","","","","","","",""
"63","Crash Dive","1943","Approved","N/A","106 min","Action, Adventure, Drama, Romance, Thriller, War","Archie Mayo","Jo Swerling (screenplay), W.R. Burnett (original story)","Tyrone Power, Anne Baxter, Dana Andrews, James Gleason","A submarine lieutenant and his commander fall in love with the same girl.","English, German","USA","N/A","https://m.media-amazon.com/images/M/MV5BYWZkZWQ1NzItYjRkNS00MmU4LWE3OGEtZmExMDMyZjA5NDk0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","Internet Movie Database","6.3/10","N/A","6.3","1,356","tt0035763","movie","N/A","N/A","Twentieth Century Fox","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","51%","","","","","","","","","","","",""
"65","Lost in the Pershing Point Hotel","2000","N/A","09 Jun 2000","107 min","Comedy, Drama","Julia Jay Pierrepont III","Leslie Jordan, Leslie Jordan (play)","Leslie Jordan, Erin Chandler, Mark Pellegrino, John Ritter","Taken from the life story of Leslie Jordan. A Tennessee country boy realizes he's gay and keeps getting in trouble with the local bad boys. He hears Atlanta is the new place to be, tosses ...","English","USA","4 wins.","https://m.media-amazon.com/images/M/MV5BMTk4OTgxMTA2NV5BMl5BanBnXkFtZTgwMTc2MDA1ODE@._V1_SX300.jpg","Internet Movie Database","4.8/10","N/A","4.8","149","tt0201737","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","20%","","","","","","","","","","","",""
"67","Vampire Journals","1997","R","14 Aug 1997","82 min","Fantasy, Horror","Ted Nicolaou","Ted Nicolaou","Jonathon Morris, David Gunn, Kirsten Cerre, Starr Andreeff","Avenging vampire stalks a king of the vampires in Eastern Europe, slaughters anyone who gets in his way.","English","Romania, USA","N/A","https://m.media-amazon.com/images/M/MV5BMDQ5MDVmMjItZTEyYy00NzQzLTg1OTUtYzdiNTgyMjAzNTE0XkEyXkFqcGdeQXVyMjAxMjEzNzU@._V1_SX300.jpg","Internet Movie Database","5.6/10","N/A","5.6","1,362","tt0120428","movie","N/A","N/A","Full Moon Studios, Full Moon Entertainment, Castel Film Romania","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","46%","","","","","","","","","","","",""
"69","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"72","At Home Among Strangers, a Stranger Among His Own","1974","N/A","11 Nov 1974","97 min","Action, Adventure, Drama, War, Western","Nikita Mikhalkov","Nikita Mikhalkov, Eduard Volodarskiy","Yuriy Bogatyryov, Nikita Mikhalkov, Sergey Shakurov, Aleksandr Kalyagin","Set during the Civil War between the Reds and the Whites that followed the 1917 revolution in Russia","Russian","Soviet Union","N/A","https://m.media-amazon.com/images/M/MV5BMTUxMzcwMjQ0NV5BMl5BanBnXkFtZTcwMTQ3OTk3MQ@@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","2,315","tt0072231","movie","N/A","N/A","Mosfilm","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","88%","","","","","","","","","","","",""
"74","6ixtynin9","1999","R","19 Nov 1999","118 min","Comedy, Crime, Thriller","Pen-Ek Ratanaruang","Pen-Ek Ratanaruang","Lalita Panyopas, Sirisin Siripornsmathikul, Prompop Lee, Surapong Mekpongsathorn","A woman, fired from a financial coorporation during the Asia crisis, returns home with no money. However, she finds a box with a fortune in front of her door, and decides to keep it. ...","Thai","Thailand","5 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMTg1MzA4NDUxOF5BMl5BanBnXkFtZTYwODMyOTU5._V1_SX300.jpg","Internet Movie Database","7.2/10","65","7.2","1,885","tt0235154","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","94%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","65/100","","","","","","","","","","","",""
"75","Grind","1997","NOT RATED","11 Apr 1997","96 min","Drama","Chris Kentis","Laura Lau, Chris Kentis","Billy Crudup, Adrienne Shelly, Paul Schulze, Frank Vincent","When a drag-racing, hard-luck parolee moves in with his brother in hopes of that ever-elusive fresh start in life, he's sure to be warm for the form of his brother's bored young wife. ...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTQ1Mjc4MTc3MF5BMl5BanBnXkFtZTgwNjAwNDgwMzE@._V1_SX300.jpg","Internet Movie Database","5.3/10","N/A","5.3","362","tt0119228","movie","N/A","N/A","N/A","N/A","True","",""
